X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,Class
2,0,0,5312,5263,0,0,0,0,1,0,5,0,0,0,1571,1571,3,3,0,0,0,0,0,0,0,0,5,0,0
2,0,0,5313,5263,0,0,0,0,1,0,5,0,0,0,912,912,1,1,0,0,0,0,0,0,0,0,4,0,0
1,70,0,5263,5263,6,0,1,159,0,2,0,159,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1
2,0,6842,4801,5263,0,2,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.5,0,0
1,0,13684,7368,10526,0,0,6,117,0,1,0,20,0,0,0,0,0,0,0,0,0,0,0,0,40,201,4.5,0,0
2,0,13684,1384,10526,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,0,0
3,0,5684,19368,21053,0,6,3,6,1,2,0,2,0,1,0,0,0,0,0,0,0,0,6316,0,212,212,0,0,0
1,0,10526,6316,10526,0,1,8,97,0,1,0,12,0,1,0,514,0,1,0,0,0,0,6316,0,38,268,2.5,0,0
1,0,0,10526,10526,0,0,9,167,0,1,0,19,0,0,0,0,0,0,0,0,0,0,0,0,48,382,0,13.75,1
1,0,0,7986,10526,0,0,9,148,0,2,0,16,0,0,0,0,0,0,0,0,0,0,0,0,81,564,4,13.75,0
2,0,21053,10715,10526,0,9,0,0,1,0,5,0,0,1,0,0,0,0,0,0,0,3947,3947,0,0,0,4,0,0
1,0,13684,10526,10526,0,0,1,33,0,1,1,33,0,0,0,0,0,0,0,2124,0,2124,2124,2124,0,0,0,14.25,0
1,0,0,9474,10526,0,0,5,165,0,1,0,33,0,0,0,0,0,0,0,0,0,0,0,0,38,153,4,0,0
1,0,0,3158,6316,0,0,1,8,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5,0,0
1,0,0,7710,10526,0,0,7,231,0,1,0,33,0,0,282,282,1,1,0,0,0,0,0,0,11,65,4,0,1
3,0,6947,9464,10526,0,2,9,49,1,1,41,5,0,1,998,4103,2,5,0,0,0,0,0,0,32,256,4,14.25,0
1,0,31579,21053,21053,0,0,9,31,0,1,0,3,0,0,97,97,1,1,0,0,0,0,0,0,50,397,5,0,0
1,2,0,10526,10526,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,263,263,0,0,0,4,0,1
1,0,10526,52632,52632,0,15,1,3,0,5,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0
2,0,0,1028,5263,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,0,0
2,0,0,9543,10526,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0,0
1,0,0,10286,10526,0,0,9,373,0,1,0,41,0,0,0,0,0,0,0,0,0,0,0,0,19,153,2,0,0
1,0,0,21053,21053,0,0,3,112,0,1,0,37,0,0,0,0,0,0,0,0,27368,0,27368,0,32,63,0,13.75,0
2,0,3421,2632,2105,0,1,0,0,1,0,5,0,0,1,97,97,1,1,0,0,0,0,0,0,0,0,4.5,0,0
2,0,13684,10301,10526,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
1,0,0,6316,6316,0,0,4,216,0,2,0,54,0,0,0,0,0,0,0,0,0,0,0,0,23,68,3.59,0,0
2,0,0,2613,4737,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
1,0,0,31579,31579,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,41053,0,41053,0,0,0,0,13.75,0
2,0,0,5143,5263,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
1,0,0,10526,10526,0,0,6,271,0,1,0,45,0,0,0,0,0,0,0,0,0,0,0,0,31,154,0,14.25,0
1,0,13684,13684,15789,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7632,7632,0,0,0,3.5,0,0
3,36,0,15784,15789,2,0,2,2,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,60,60,4.17,0,1
2,0,5474,4249,4211,0,0,0,0,1,0,5,0,0,0,836,836,2,2,0,0,0,0,0,0,0,0,3.5,0,0
1,0,0,4211,5263,0,1,4,64,0,1,0,16,0,1,0,270,0,1,0,0,0,0,0,0,99,297,3.5,0,0
1,0,18947,6316,10526,0,0,5,165,0,1,23,33,0,0,0,0,0,0,0,0,0,0,0,0,32,127,5.5,0,0
1,0,0,10526,10526,0,0,4,142,0,1,0,36,0,0,0,0,0,0,0,0,0,3684,3684,0,79,236,0,14.25,0
1,1,0,5158,5158,1,0,1,5,0,2,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1
1,0,0,526,526,0,0,3,138,0,1,0,46,0,0,0,0,0,0,0,0,0,632,632,0,37,74,0,10.5,0
2,22,0,4207,4211,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
1,0,0,21053,21053,0,0,8,219,0,1,0,27,0,0,0,0,0,0,0,0,0,0,0,0,25,178,0,14.25,0
